Baseline Accuracy: 0.9933
Low EDI Score Dimensions Accuracy: 0.5200

Cross-Property Accuracies:
intensifier: 0.8867
tense: 0.8533
polarity: 0.8733
factuality: 0.9533
quantity: 0.8800
negation: 0.8967
definiteness: 0.8167
control: 0.5467

Incremental Results:
Dimensions: 1, Test Accuracy: 0.6800
Dimensions: 2, Test Accuracy: 0.7367
Dimensions: 3, Test Accuracy: 0.8000
Dimensions: 4, Test Accuracy: 0.8233
Dimensions: 5, Test Accuracy: 0.8433
Dimensions: 6, Test Accuracy: 0.8600
Dimensions: 7, Test Accuracy: 0.8767
Dimensions: 8, Test Accuracy: 0.8700
Dimensions: 9, Test Accuracy: 0.8733
Dimensions: 10, Test Accuracy: 0.8900
Dimensions: 11, Test Accuracy: 0.9067
Dimensions: 12, Test Accuracy: 0.9300
Dimensions: 13, Test Accuracy: 0.9333
Dimensions: 14, Test Accuracy: 0.9400
Dimensions: 15, Test Accuracy: 0.9367
Dimensions: 16, Test Accuracy: 0.9567
Dimensions: 17, Test Accuracy: 0.9600
Dimensions: 18, Test Accuracy: 0.9533
Dimensions: 19, Test Accuracy: 0.9600
Dimensions: 20, Test Accuracy: 0.9667
Dimensions: 21, Test Accuracy: 0.9600
Dimensions: 22, Test Accuracy: 0.9633
Dimensions: 23, Test Accuracy: 0.9633
Dimensions: 24, Test Accuracy: 0.9600
Dimensions: 25, Test Accuracy: 0.9667
Dimensions: 26, Test Accuracy: 0.9633
Dimensions: 27, Test Accuracy: 0.9633
Dimensions: 28, Test Accuracy: 0.9600
Dimensions: 29, Test Accuracy: 0.9600
Dimensions: 30, Test Accuracy: 0.9667
Dimensions: 31, Test Accuracy: 0.9667
